Dataset	Phenotype	Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Units	Exposure_Units	Methylation_Array	Tissue	Details	N	N_Cohorts	Categories	Age	N_Males	N_Females	N_EUR	N_EAS	N_SAS	N_AFR	N_AMR	N_OTH
GSE50660_smoking_status_fc	Smoking status (current vs. never)	Battram T	NA	25424692	2019-08-07	Smoking status (current vs. never)	EFO_0004318	NA	NA	DNA methylation	smoking_status_fc	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE50660	285	1	Number of former values = 22, number of current values = 263	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE50660_smoking_status_nc	Smoking status (current vs. former)	Battram T	NA	25424692	2019-08-07	Smoking status (current vs. former)	EFO_0004319	NA	NA	DNA methylation	smoking_status_nc	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE50660	201	1	Number of never values = 22, number of current values = 179	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE50660_smoking_status_nf	Smoking status (former vs. never)	Battram T	NA	25424692	2019-08-07	Smoking status (former vs. never)	EFO_0004318	NA	NA	DNA methylation	smoking_status_nf	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE50660	442	1	Number of former values = 263, number of never values = 179	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE51057_age_at_menarche	NA	Battram T	NA	NA	2019-08-07	NA	NA	NA	NA	DNA methylation	age_at_menarche	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE51057	329	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE53045_disease_state	Smoking status (ever vs. never)	Battram T	NA	24559495	2019-08-07	Smoking status (ever vs. never)	EFO_0005670	NA	NA	DNA methylation	disease_state	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE53045	111	1	Number of Smoker values = 61, number of Control values = 50	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE53740_ftd_status	Frontotemporal dementia	Battram T	NA	24603599	2019-08-07	Frontotemporal dementia	Orphanet_282	NA	NA	DNA methylation	ftd_status	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE53740	314	1	Number of Control values = 193, number of FTD values = 121	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE53740_psp_status	Progressive supranuclear palsy	Battram T	NA	24603599	2019-08-07	Progressive supranuclear palsy	Orphanet_683	NA	NA	DNA methylation	psp_status	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE53740	236	1	Number of PSP values = 193, number of Control values = 43	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE58885_days_post-conception	NA	Battram T	NA	NA	2019-08-07	NA	NA	NA	NA	DNA methylation	days_post-conception	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE58885	179	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE58888_age_group	Age	Battram T	NA	25888029	2019-08-07	Age	EFO_0000246	NA	NA	DNA methylation	age_group	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE58888	143	1	Number of nonagenarian values = 122, number of young control values = 21	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE59592_afb1_exposure	Aflatoxin B1 exposure in utero	Battram T	NA	25855716	2019-08-07	Aflatoxin B1 exposure in utero	CHEBI_2504	NA	NA	DNA methylation	afb1_exposure	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE59592	118	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE60275_healthy_vs_disease	Sex	Battram T	NA	25381334	2019-08-07	Sex	PATO_0000047	NA	NA	DNA methylation	healthy_vs_disease	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE60275	529	1	Number of F values = 242, number of M values = 287	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE61278_agegroup	Age	Battram T	NA	25282492	2019-08-07	Age	EFO_0000246	NA	NA	DNA methylation	agegroup	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE61278	110	1	Number of Fetal values = 96, number of Adult values = 14	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE66351_diagnosis	Alzheimer's disease	Battram T	NA	30045751	2019-08-07	Alzheimer's disease	EFO_0000249	NA	NA	DNA methylation	diagnosis	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE66351	190	1	Number of AD values = 106, number of CTRL values = 84	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE67393_gender	Sex	Battram T	NA	26113971	2019-08-07	Sex	PATO_0000047	NA	NA	DNA methylation	gender	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE67393	117	1	Number of Female values = 54, number of Male values = 63	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE67530_ards	Acute respiratory distress syndrome	Battram T	NA	27543902	2019-08-07	Acute respiratory distress syndrome	EFO_1000637	NA	NA	DNA methylation	ards	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE67530	114	1	Number of 0 values = 75, number of 1 values = 39	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE69502_anencephaly_status	Anencephaly	Battram T	NA	26889207	2019-08-07	Anencephaly	MONDO_0000819	NA	NA	DNA methylation	anencephaly_status	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE69502	101	1	Number of control values = 36, number of anencephaly values = 65	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE69502_spina_bifida_status	Spina bifida	Battram T	NA	26889207	2019-08-07	Spina bifida	EFO_0003105	NA	NA	DNA methylation	spina_bifida_status	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE69502	143	1	Number of control values = 65, number of spina_bifida values = 78	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE70977_group	Oral pharyngeal squamous cell carcinoma	Battram T	NA	26635906	2019-08-07	Oral pharyngeal squamous cell carcinoma	EFO_0000199,EFO_1001965	NA	NA	DNA methylation	group	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE70977	223	1	Number of OPSCC Case values = 71, number of Control values = 152	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE71678_placental_as_levels	Arsenic exposure in utero	Battram T	NA	26771251	2019-08-07	Arsenic exposure in utero	CHEBI_27563	NA	NA	DNA methylation	placental_as_levels	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE71678	285	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE71955_diagnosis	Graves' disease	Battram T	NA	26459776	2019-08-07	Graves' disease	EFO_0004237	NA	NA	DNA methylation	diagnosis	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE71955	135	1	Number of Healthy values = 73, number of Graves' Patient values = 62	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE73894_disease_state	Psoriasis	Battram T	NA	26743604	2019-08-07	Psoriasis	EFO_0000676	NA	NA	DNA methylation	disease_state	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE73894	219	1	Number of Psoriasis values = 64, number of Normal values = 155	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE76938_tissue	Prostate cancer	Battram T	NA	28412973	2019-08-07	Prostate cancer	MONDO_0008315	NA	NA	DNA methylation	tissue	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE76938	136	1	Number of prostate cancer tissue values = 63, number of prostate benign tissue values = 73	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE80970_disease_status	Alzheimer's disease	Battram T	NA	29550519	2019-08-07	Alzheimer's disease	EFO_0000249	NA	NA	DNA methylation	disease_status	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE80970	286	1	Number of Alzheimer's disease values = 148, number of control values = 138	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE85566_disease_status	Asthma	Battram T	NA	27942592	2019-08-07	Asthma	EFO_0000270	NA	NA	DNA methylation	disease_status	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE85566	115	1	Number of Asthma values = 74, number of Control values = 41	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE87640_cd_diagnosis	Inflammatory bowel disease	Battram T	NA	27886173	2019-08-07	Inflammatory bowel disease	EFO_0003767	NA	NA	DNA methylation	cd_diagnosis	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE87640	161	1	Number of CD values = 77, number of healthy values = 84	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE87640_ibd_diagnosis	Crohn's disease	Battram T	NA	27886173	2019-08-07	Crohn's disease	EFO_0000384	NA	NA	DNA methylation	ibd_diagnosis	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE87640	240	1	Number of IBD values = 84, number of healthy values = 156	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE87640_uc_diagnosis	Ulcerative colitis	Battram T	NA	27886173	2019-08-07	Ulcerative colitis	EFO_0000729	NA	NA	DNA methylation	uc_diagnosis	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE87640	163	1	Number of healthy values = 84, number of UC values = 79	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE90124_total_body_naevus_count	NA	Battram T	NA	NA	2019-08-07	NA	NA	NA	NA	DNA methylation	total_body_naevus_count	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE90124	322	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
